CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Ownership Type,Certification Date,Total Number of Beds,Location
392047,SELECT SPECIALTY HOSPITAL - DANVILLE,100 NORTH ACADEMY AVENUE 3RD FLR BUSH & GEISINGER,,DANVILLE,PA,17822,Montour,(570) 214-9648,3,For profit,02/01/2005,30,"100 NORTH ACADEMY AVENUE 3RD FLR BUSH & GEISINGER DANVILLE, PA 17822 (40.969585, -76.60622)"
452105,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY ROAD,,TEMPLE,TX,76502,Bell,(254) 215-0900,6,Non-profit,01/01/2008,50,"546 N KEGLEY ROAD TEMPLE, TX 76502 (31.118293, -97.397645)"
052036,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BLVD,,SAN DIEGO,CA,92104,San Diego,(619) 543-4500,9,For profit,06/01/1993,70,"1940 EL CAJON BLVD SAN DIEGO, CA 92104 (32.755353, -117.144531)"
052050,KINDRED HOSPITAL SOUTH BAY,1246 WEST 155TH STREET,,GARDENA,CA,90247,Los Angeles,(310) 323-5330,9,For profit,10/01/2006,58,"1246 WEST 155TH STREET GARDENA, CA 90247 (33.890495, -118.297649)"
222046,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS,1400 STATE STREET,,SPRINGFIELD,MA,01109,Hampden,(413) 787-6700,1,For profit,04/13/2001,174,"1400 STATE STREET SPRINGFIELD, MA 01109 (42.120058, -72.545893)"
452031,PAM SPECIALTY HOSPITAL OF LUFKIN,1201 FRANK ST SUITE D5,,LUFKIN,TX,75904,Angelina,(936) 639-7975,6,Non-profit,01/01/1994,26,
102024,SELECT SPECIALTY HOSPITAL PENSACOLA,7000 COBBLE CREEK DR,,PENSACOLA,FL,32504,Escambia,(850) 479-5938,4,For profit,10/01/2008,54,
262020,"LANDMARK HOSPITAL OF COLUMBIA, LLC",604 OLD HIGHWAY 63 NORTH,,COLUMBIA,MO,65201,Boone,(573) 499-6600,7,For profit,04/01/2010,42,
392046,KINDRED HOSPITAL SOUTH PHILADELPHIA,1930 SOUTH BROAD STREET UNIT #12,,PHILADELPHIA,PA,19145,Philadelphia,(267) 570-5200,3,For profit,01/01/2005,58,"1930 SOUTH BROAD STREET UNIT #12 PHILADELPHIA, PA 19145 (39.926163, -75.169315)"
042012,BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC,"9601 BAPTIST HEALTH DRIVE, 1OTH FLOOR",,LITTLE ROCK,AR,72205,Pulaski,(501) 202-1070,6,Non-profit,10/01/2008,55,"9601 BAPTIST HEALTH DRIVE, 1OTH FLOOR LITTLE ROCK, AR 72205 (34.745783, -92.382292)"
192036,P A M SPECIALTY HOSPITAL OF HAMMOND,42074 VETERANS AVENUE,,HAMMOND,LA,70403,Tangipahoa,(985) 902-8148,6,For profit,09/01/2002,40,"42074 VETERANS AVENUE HAMMOND, LA 70403 (30.468824, -90.457315)"
222048,WHITTIER REHABILITATION HOSPITAL,150 FLANDERS ROAD,,WESTBOROUGH,MA,01581,Worcester,(508) 871-2063,1,For profit,10/01/2005,88,"150 FLANDERS ROAD WESTBOROUGH, MA 01581 (42.276017, -71.566229)"
052044,VIBRA HOSPITAL OF SAN DIEGO,555 WASHINGTON STREET,,SAN DIEGO,CA,92103,San Diego,(619) 260-8300,9,For profit,04/01/2002,110,"555 WASHINGTON STREET SAN DIEGO, CA 92103 (32.749919, -117.159836)"
132002,VIBRA HOSPITAL OF BOISE,6651 W FRANKLIN ROAD,,BOISE,ID,83709,Ada,(208) 489-9500,10,Non-profit,02/01/2009,60,"6651 W FRANKLIN ROAD BOISE, ID 83709 (43.604117, -116.26607)"
362025,COMMUNITY SPECIALTY HOSPITAL,"254 CLEVELAND AVENUE, 2ND FLOOR",,AMHERST,OH,44001,Lorain,(440) 988-6141,5,Non-profit,10/01/2000,30,"254 CLEVELAND AVENUE, 2ND FLOOR AMHERST, OH 44001 (41.399755, -82.22411)"
362036,REGENCY HOSPITAL OF TOLEDO,5220 WEST ALEXIS ROAD,,SYLVANIA,OH,43560,Lucas,(419) 318-5700,5,For profit,01/01/2008,45,"5220 WEST ALEXIS ROAD SYLVANIA, OH 43560 (41.7176, -83.667857)"
332022,TERENCE CARDINAL COOKE HEALTH CARE CENTER,1249 FIFTH AVENUE,,NEW YORK,NY,10029,New York,(212) 360-3600,2,Non-profit,06/05/1980,50,"1249 FIFTH AVENUE NEW YORK, NY 10029 (40.794298, -73.951083)"
452097,VIBRA SPECIALTY HOSPITAL,2700 WALKER WAY,,DE SOTO,TX,75115,Dallas,(214) 638-1500,6,For profit,08/01/2007,60,"2700 WALKER WAY DE SOTO, TX 75115 (32.64638, -96.884012)"
102021,BAYCARE ALLIANT HOSPITAL,601 MAIN ST,,DUNEDIN,FL,34698,Pinellas,(727) 734-6302,4,Non-profit,03/06/2008,48,"601 MAIN ST DUNEDIN, FL 34698 (28.014032, -82.783822)"
142011,PRESENCE HOLY FAMILY MEDICAL CENTER,100 NORTH RIVER ROAD,,DES PLAINES,IL,60016,Cook,(847) 813-3176,5,Non-profit,03/01/2006,238,"100 NORTH RIVER ROAD DES PLAINES, IL 60016 (42.0545, -87.888134)"
452040,SAN ANTONIO-AMG SPECIALTY HOSPITAL,718 LEXINGTON AVENUE,,SAN ANTONIO,TX,78212,Bexar,(210) 572-4600,6,For profit,08/01/1994,30,"718 LEXINGTON AVENUE SAN ANTONIO, TX 78212 (29.437258, -98.493172)"
422008,GHS NORTH GREENVILLE LTACH,807 NORTH MAIN STREET,,TRAVELERS REST,SC,29690,Greenville,(864) 834-5132,4,Non-profit,03/01/2004,45,"807 NORTH MAIN STREET TRAVELERS REST, SC 29690 (34.976317, -82.454017)"
452068,PROMISE HOSPITAL OF WICHITA FALLS,1103 GRACE STREET,,WICHITA FALLS,TX,76301,Wichita,(940) 763-7901,6,For profit,04/29/1998,31,"1103 GRACE STREET WICHITA FALLS, TX 76301 (33.902375, -98.499854)"
342019,CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,706 WEST KING STREET 2ND FLOOR,,KINGS MOUNTAIN,NC,28086,Gaston,(980) 487-5520,4,Non-profit,01/01/2010,41,"706 WEST KING STREET 2ND FLOOR KINGS MOUNTAIN, NC 28086 (35.240871, -81.356017)"
452062,WARM SPRING SPECIALITY HOSPTIAL AT LULING,200 MEMORIAL DRIVE,,LULING,TX,78648,Caldwell,(512) 672-6592,6,For profit,09/01/1998,34,"200 MEMORIAL DRIVE LULING, TX 78648 (29.674336, -97.654284)"
192052,"SPECIALTY HOSPITAL OF WINNFIELD, INC",915 1ST STREET,,WINNFIELD,LA,71483,Winn,(318) 648-3523,6,For profit,04/01/2005,20,"915 1ST STREET WINNFIELD, LA 71483 (31.932041, -92.630461)"
022001,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,,ANCHORAGE,AK,99503,Anchorage,(907) 561-3333,10,Non-profit,01/01/2008,59,"4800 CORDOVA STREET ANCHORAGE, AK 99503 (61.176418, -149.878952)"
232039,PIONEER SPECIALTY HOSPITAL,50 NORTH PERRY,,PONTIAC,MI,48342,Oakland,(248) 593-1990,5,For profit,10/20/2014,30,"50 NORTH PERRY PONTIAC, MI 48342 (42.638394, -83.291095)"
092002,BRIDGEPOINT HOSPITAL CAPITOL HILL,700 CONSTITUTION AVENUE NE,,WASHINGTON,DC,20002,District Of Columbia,(202) 675-0400,3,For profit,02/01/1996,60,"700 CONSTITUTION AVENUE NE WASHINGTON, DC 20002 (38.892004, -76.995627)"
492007,HOSPITAL FOR EXTENDED RECOVERY,600 GRESHAM DRIVE SUITE 700,,NORFOLK,VA,23507,Norfolk City,(757) 388-1700,3,Non-profit,06/01/2002,35,"600 GRESHAM DRIVE SUITE 700 NORFOLK, VA 23507 (36.859728, -76.30482)"
232035,SELECT SPECIALTY HOSPITAL- BATTLE CREEK,300 NORTH AVENUE 6TH FLOOR,,BATTLE CREEK,MI,49016,Calhoun,(269) 245-4675,5,Non-profit,06/01/2003,25,
192043,RIVERSIDE HOSPITAL OF LOUISIANA INC,13 HEYMAN LANE,,ALEXANDRIA,LA,71306,Rapides,(318) 767-2900,6,For profit,08/01/2003,28,"13 HEYMAN LANE ALEXANDRIA, LA 71306 (31.300858, -92.488515)"
162001,SELECT SPECIALTY HOSPITAL - QUAD CITIES,1111 WEST KIMBERLY ROAD,,DAVENPORT,IA,52806,Scott,(563) 468-2000,7,For profit,02/01/2007,50,"1111 WEST KIMBERLY ROAD DAVENPORT, IA 52806 (41.56004, -90.58808)"
452032,CORNERSTONE SPECIALTY HOSPITALS CLEAR LAKE,709 MEDICAL CENTER BLVD,,WEBSTER,TX,77598,Harris,(713) 551-5300,6,For profit,01/01/1994,148,"709 MEDICAL CENTER BLVD WEBSTER, TX 77598 (29.53878, -95.12957)"
372016,INTEGRIS BASS PAVILION,401 SOUTH THIRD STREET,,ENID,OK,73701,Garfield,(580) 249-4260,6,Non-profit,12/01/2001,24,"401 SOUTH THIRD STREET ENID, OK 73701 (36.392569, -97.875048)"
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,1101 MEDICAL CENTER BLVD 7TH FLOOR,,MARRERO,LA,70072,Jefferson,(504) 349-2584,6,For profit,06/01/1992,44,"1101 MEDICAL CENTER BLVD 7TH FLOOR MARRERO, LA 70072 (29.891749, -90.095886)"
362004,DRAKE CENTER INC,151 WEST GALBRAITH ROAD,,CINCINNATI,OH,45216,Hamilton,(513) 418-2500,5,Non-profit,07/01/1966,108,"151 WEST GALBRAITH ROAD CINCINNATI, OH 45216 (39.213427, -84.478798)"
452090,PAM SPECIALTY HOSPITAL OF SAN ANTONIO,5418 N LOOP 1604 W,,SAN ANTONIO,TX,78249,Bexar,(210) 921-3550,6,For profit,11/20/2003,26,"5418 N LOOP 1604 W SAN ANTONIO, TX 78249 (29.591314, -98.591794)"
102032,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,1285 CREEKSIDE BLVD E,,NAPLES,FL,34108,Collier,(239) 478-8398,4,For profit,04/01/2016,50,"1285 CREEKSIDE BLVD E NAPLES, FL 34108 (26.269377, -81.788684)"
282003,MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA,17500 BURKE STREET,,OMAHA,NE,68118,Douglas,(402) 401-3000,7,Non-profit,03/01/2015,32,"17500 BURKE STREET OMAHA, NE 68118 (41.259304, -96.188952)"
362023,VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,,BOARDMAN,OH,44512,Mahoning,(330) 726-5021,5,Non-profit,02/01/2000,45,"8049 SOUTH AVENUE BOARDMAN, OH 44512 (41.005108, -80.633988)"
142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 S COUNTY LINE RD,,HINSDALE,IL,60521,DuPage,(630) 286-4123,5,Non-profit,06/01/1997,189,"5601 S COUNTY LINE RD HINSDALE, IL 60521 (41.787044, -87.916893)"
232033,SELECT SPECIALTY HOSPITAL-SAGINAW,"1447 NORTH HARRISON, 7TH & 8TH FLOOR",,SAGINAW,MI,48602,Saginaw,(989) 583-4667,5,For profit,03/01/2003,32,
032005,SELECT SPECIALTY HOSPITAL ARIZONA,"1012 EAST WILETTA, 4TH FLOOR",,PHOENIX,AZ,85006,Maricopa,(717) 972-1100,9,For profit,06/01/2000,62,
192015,OCHSNER EXTENDED CARE HOSPITAL,"2614 JEFFERSON HWY, 2ND FLOOR",,JEFFERSON,LA,70121,Jefferson,(504) 464-8590,6,For profit,08/01/1995,32,"2614 JEFFERSON HWY, 2ND FLOOR JEFFERSON, LA 70121 (29.962867, -90.153534)"
052055,CENTRAL VALLEY SPECIALTY HOSPITAL,730 17TH STREET,,MODESTO,CA,95354,Stanislaus,(209) 248-7700,9,For profit,08/28/2013,36,"730 17TH STREET MODESTO, CA 95354 (37.64322, -120.990892)"
452100,MESQUITE SPECIALTY HOSPITAL,1024  N GALLOWAY AVENUE,,MESQUITE,TX,75149,Dallas,(972) 216-2300,6,Non-profit,06/01/2007,40,"1024  N GALLOWAY AVENUE MESQUITE, TX 75149 (32.77771, -96.599605)"
192011,LIFECARE HOSPITALS OF SHREVEPORT,8001 YOUREE DRIVE,,SHREVEPORT,LA,71115,Caddo,(318) 688-8504,6,For profit,01/01/1994,54,"8001 YOUREE DRIVE SHREVEPORT, LA 71115 (32.431789, -93.711716)"
102028,PROMISE HOSPITAL OF FLORIDA AT THE VILLAGES,5050 COUNTY ROAD 472,,OXFORD,FL,34484,Sumter,(352) 689-6402,4,For profit,07/01/2012,40,"5050 COUNTY ROAD 472 OXFORD, FL 34484 (28.909068, -82.018926)"
192012,CHRISTUS DUBUIS HOSPITAL OF ALEXANDRIA,3330 MASONIC DR,,ALEXANDRIA,LA,71301,Rapides,(318) 448-4960,6,For profit,07/01/1994,25,"3330 MASONIC DR ALEXANDRIA, LA 71301 (31.282401, -92.460848)"
452092,PAM SPECIALTY HOSPITAL OF  CORPUS CHRISTI SOUTH,6226 SARATOGA BOULEVARD,,CORPUS CHRISTI,TX,78414,Nueces,(361) 986-1600,6,For profit,05/01/2005,74,"6226 SARATOGA BOULEVARD CORPUS CHRISTI, TX 78414 (27.678965, -97.370489)"
312024,COLUMBUS HOSPITAL LTACH,495 NORTH 13TH STREET,,NEWARK,NJ,07107,Essex,(973) 587-7712,2,Non-profit,09/14/2010,63,"495 NORTH 13TH STREET NEWARK, NJ 07107 (40.772951, -74.187013)"
152024,REGENCY HOSPITAL OF NORTHWEST INDIANA,4321 FIR ST 4TH FL,,EAST CHICAGO,IN,46312,Lake,(219) 392-7799,5,For profit,02/01/2004,61,"4321 FIR ST 4TH FL EAST CHICAGO, IN 46312 (41.634064, -87.448542)"
362033,KINDRED HOSPITALS-DAYTON,707 EAST EDWIN C MOSES BLVD,,DAYTON,OH,45417,Montgomery,(937) 331-9265,5,Non-profit,03/01/2005,67,"707 EAST EDWIN C MOSES BLVD DAYTON, OH 45417 (39.746961, -84.197104)"
012007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,Government,02/25/1999,60,
452035,MESA HILLS SPECIALTY HOSPITAL,2311 N OREGON STREET,,EL PASO,TX,79902,El Paso,(915) 548-1823,6,For profit,06/01/1994,32,"2311 N OREGON STREET EL PASO, TX 79902 (31.773574, -106.501502)"
452118,HOUSTON METHODIST CONTINUING CARE HOSPITAL,701 S FRY ROAD,,KATY,TX,77450,Harris,(281) 599-5700,6,Non-profit,08/01/2014,102,"701 S FRY ROAD KATY, TX 77450 (29.77788, -95.71887)"
292004,TAHOE PACIFIC HOSPITAL - MEADOWS,10101 DOUBLE R BLVD-1ST FLOOR,,RENO,NV,89521,Washoe,(775) 331-1044,9,For profit,09/01/1997,39,"10101 DOUBLE R BLVD-1ST FLOOR RENO, NV 89521 (39.435894, -119.758393)"
442015,SELECT SPECIALTY HOSPITAL-NORTH KNOXVILLE,7557 B DANNAHER DRIVE SUITE 145,,POWELL,TN,37849,Knox,(865) 545-7370,4,For profit,01/01/1999,68,"7557 B DANNAHER DRIVE SUITE 145 POWELL, TN 37849 (36.053251, -83.996574)"
452039,KINDRED HOSPITAL,11297 FALLBROOK,,HOUSTON,TX,77065,Harris,(281) 897-8114,6,For profit,06/01/1994,158,"11297 FALLBROOK HOUSTON, TX 77065 (29.925133, -95.587914)"
232029,SELECT SPECIALTY HOSPITAL - SPECTRUM HEALTH,"1840 WEALTHY STREET SE, 5TH FLOOR",,GRAND RAPIDS,MI,49506,Kent,(616) 774-3800,5,Non-profit,01/01/2001,146,"1840 WEALTHY STREET SE, 5TH FLOOR GRAND RAPIDS, MI 49506 (42.955073, -85.623722)"
052043,KENTFIELD HOSPITAL,1125 SIR FRANCIS DRAKE BLVD,,KENTFIELD,CA,94904,Marin,(415) 456-9680,9,For profit,07/01/1999,120,"1125 SIR FRANCIS DRAKE BLVD KENTFIELD, CA 94904 (37.959508, -122.552722)"
052045,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,,BALDWIN PARK,CA,91706,Los Angeles,(626) 388-2700,9,For profit,09/01/2004,95,"14148 FRANCISQUITO AVENUE BALDWIN PARK, CA 91706 (34.063697, -117.967476)"
212002,WESTERN MARYLAND CENTER,1500 PENNSYLVANIA AVENUE,,HAGERSTOWN,MD,21742,Washington,(301) 745-4140,3,Government,07/01/1966,123,"1500 PENNSYLVANIA AVENUE HAGERSTOWN, MD 21742 (39.664961, -77.718886)"
452016,KINDRED HOSPITAL SAN ANTONIO,3636 MEDICAL DRIVE,,SAN ANTONIO,TX,78229,Bexar,(210) 616-0616,6,For profit,02/08/1989,59,"3636 MEDICAL DRIVE SAN ANTONIO, TX 78229 (29.522655, -98.556811)"
062013,KINDRED HOSPITAL AURORA,700 POTOMAC ST 2ND FLOOR,,AURORA,CO,80011,Adams,(720) 857-8333,8,For profit,05/01/1998,37,"700 POTOMAC ST 2ND FLOOR AURORA, CO 80011 (39.727342, -104.828323)"
232020,MCLAREN BAY SPECIAL CARE,"3250 E MIDLAND RD, SUITE 1",,BAY CITY,MI,48706,Bay,(989) 667-6802,5,Non-profit,01/01/1995,31,"3250 E MIDLAND RD, SUITE 1 BAY CITY, MI 48706 (43.602094, -83.923819)"
452015,KINDRED HOSPITAL DALLAS,9525 GREENVILLE AVENUE,,DALLAS,TX,75218,Dallas,(214) 355-2600,6,For profit,12/17/1987,140,"9525 GREENVILLE AVENUE DALLAS, TX 75218 (32.905825, -96.748226)"
102019,KINDRED HOSPITAL OCALA,"1500 SW 1ST AVENUE, 5TH FLOOR",,OCALA,FL,34474,Marion,(352) 369-0513,4,For profit,06/01/2006,31,"1500 SW 1ST AVENUE, 5TH FLOOR OCALA, FL 34474 (29.174236, -82.137834)"
272001,ADVANCED CARE HOSPITAL OF MONTANA,3528 GABEL RD,,BILLINGS,MT,59102,Yellowstone,(406) 373-8000,8,For profit,09/01/2008,40,"3528 GABEL RD BILLINGS, MT 59102 (45.743834, -108.605169)"
452019,KINDRED HOSPITAL FORT WORTH- MANSFIELD,1802 HIGHWAY 157 NORTH,,MANSFIELD,TX,76063,Tarrant,(817) 332-4812,6,For profit,07/18/1990,55,"1802 HIGHWAY 157 NORTH MANSFIELD, TX 76063 (32.599575, -97.145637)"
042008,CHRISTUS DUBUIS HOSPITAL OF FORT SMITH,"7301 ROGERS AVENUE, # 4",,FORT SMITH,AR,72903,Sebastian,(479) 314-4900,6,For profit,05/29/2003,25,"7301 ROGERS AVENUE, # 4 FORT SMITH, AR 72903 (35.353647, -94.352964)"
222006,LEMUEL SHATTUCK HOSPITAL,170 MORTON STREET,,JAMAICA PLAIN,MA,02130,Suffolk,(617) 522-8110,1,Government,07/01/1966,260,"170 MORTON STREET JAMAICA PLAIN, MA 02130 (42.298742, -71.102154)"
492009,VIBRA HOSPITAL OF RICHMOND,2220 EDWARD HOLLAND DRIVE,,RICHMOND,VA,23230,Henrico,(804) 678-7000,3,For profit,05/01/2008,60,"2220 EDWARD HOLLAND DRIVE RICHMOND, VA 23230 (37.590951, -77.48999)"
242004,HEALTHEAST BETHESDA HOSPITAL,559 CAPITOL BOULEVARD,,SAINT PAUL,MN,55103,Ramsey,(651) 232-2122,5,Non-profit,01/20/1989,254,"559 CAPITOL BOULEVARD SAINT PAUL, MN 55103 (44.958347, -93.102473)"
262015,"LANDMARK HOSPITAL OF CAPE GIRARDEAU, LLC",3255 INDEPENDENCE,,CAPE GIRARDEAU,MO,63701,Cape Girardeau,(573) 335-1091,7,For profit,10/01/2006,30,"3255 INDEPENDENCE CAPE GIRARDEAU, MO 63701 (37.308284, -89.57584)"
042013,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,"3024 RED WOLF BOULEVARD, SUITE 1",,JONESBORO,AR,72401,Craighead,(870) 819-4040,6,For profit,12/20/2017,44,"3024 RED WOLF BOULEVARD, SUITE 1 JONESBORO, AR 72401 (35.811403, -90.669085)"
062012,COLORADO ACUTE LONG TERM HOSPITAL,1690 N MEADE ST,,DENVER,CO,80204,Denver,(303) 264-6900,8,For profit,04/01/1994,63,"1690 N MEADE ST DENVER, CO 80204 (39.743568, -105.035815)"
452079,KINDRED HOSPTIAL EL PASO,1740 CURIE DRIVE,,EL PASO,TX,79902,El Paso,(915) 351-9044,6,For profit,02/28/2002,72,"1740 CURIE DRIVE EL PASO, TX 79902 (31.779235, -106.477941)"
392044,SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC,"200 LOTHROP STREET, MUH E824",,PITTSBURGH,PA,15213,Allegheny,(412) 586-9821,3,For profit,07/01/2004,32,"200 LOTHROP STREET, MUH E824 PITTSBURGH, PA 15213 (40.441824, -79.960769)"
102010,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,1516 E LAS OLAS BLVD,,FORT LAUDERDALE,FL,33301,Broward,(954) 764-8900,4,For profit,12/20/1988,244,"1516 E LAS OLAS BLVD FORT LAUDERDALE, FL 33301 (26.119377, -80.12767)"
182006,CONTINUECARE HOSPITAL AT BAPTIST HEALTH CORBIN,"ONE TRILLIUM WAY, LOWER LEVEL",,CORBIN,KY,40701,Knox,(606) 523-5150,4,Non-profit,03/01/2005,32,
282001,SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS),1870 SOUTH 75TH STREET,,OMAHA,NE,68124,Douglas,(402) 361-5830,7,For profit,07/01/2000,52,"1870 SOUTH 75TH STREET OMAHA, NE 68124 (41.241026, -96.028732)"
392039,SELECT SPECIALTY HOSPITAL - CENTRAL PA HARRISBURG,111 SOUTH FRONT STREET,,HARRISBURG,PA,17101,Dauphin,(717) 972-4560,3,For profit,01/01/2002,92,"111 SOUTH FRONT STREET HARRISBURG, PA 17101 (40.257231, -76.880614)"
052035,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,,WESTMINSTER,CA,92683,Orange,(714) 893-4541,9,For profit,06/01/1993,109,"200 HOSPITAL CIRCLE WESTMINSTER, CA 92683 (33.763154, -117.994479)"
102026,ADVENTHEALTH CONNERTON,9441 HEALTH CENTER DR,,LAND O LAKES,FL,34637,Pasco,(813) 971-3700,4,For profit,11/01/2009,50,"9441 HEALTH CENTER DR LAND O LAKES, FL 34637 (28.296713, -82.489607)"
032004,CORNERSTONE SPECIALTY HOSPITALS TUCSON,7220 EAST ROSEWOOD STREET,,TUCSON,AZ,85710,Pima,(469) 621-6700,9,For profit,07/01/1998,34,"7220 EAST ROSEWOOD STREET TUCSON, AZ 85710 (32.232764, -110.838248)"
092003,BRIDGEPOINT -NATIONAL HARBOR,4601 MARTIN LUTHER KING JR AVENUE,,WASHINGTON,DC,20032,District Of Columbia,(202) 574-5770,3,For profit,01/01/2002,82,"4601 MARTIN LUTHER KING JR AVENUE WASHINGTON, DC 20032 (38.824754, -77.012409)"
452029,CONTINUE CARE HOSPITAL AT HENDRICK MEDICAL CENTER,1900 PINE ST 5TH FLOOR,,ABILENE,TX,79601,Taylor,(325) 670-5151,6,Non-profit,09/01/1993,46,"1900 PINE ST 5TH FLOOR ABILENE, TX 79601 (32.471553, -99.73118)"
192031,CORNERSTONE SPECIALTY HOSPITALS WEST MONROE,6198 CYPRESS STREET,,WEST MONROE,LA,71291,Ouachita,(318) 396-5600,6,For profit,01/01/2002,47,"6198 CYPRESS STREET WEST MONROE, LA 71291 (32.513601, -92.204147)"
072003,GAYLORD HOSPITAL INC,GAYLORD FARM RD,,WALLINGFORD,CT,06492,New Haven,(203) 284-2800,1,Non-profit,07/01/1966,137,
452087,SELECT SPECIALITY HOSPITAL OF LONGVIEW,700 EAST MARSHALL AVE FIRST FLOOR WEST WING,,LONGVIEW,TX,75601,Gregg,(903) 315-1111,6,For profit,06/05/2003,32,"700 EAST MARSHALL AVE FIRST FLOOR WEST WING LONGVIEW, TX 75601 (32.499056, -94.749896)"
312018,"CARE ONE AT RARITAN BAY MEDICAL CENTER, LLC","530 NEW BRUNSWICK AVENUE, 2ND FLOOR GREEN",,PERTH AMBOY,NJ,08861,Middlesex,(732) 324-6090,2,For profit,11/01/2004,51,"530 NEW BRUNSWICK AVENUE, 2ND FLOOR GREEN PERTH AMBOY, NJ 08861 (40.518346, -74.28075)"
292002,KINDRED HOSPITAL - LAS VEGAS (SAHARA CAMPUS),5110 W SAHARA AVE,,LAS VEGAS,NV,89146,Clark,(702) 835-2926,9,For profit,09/01/1994,146,"5110 W SAHARA AVE LAS VEGAS, NV 89146 (36.144572, -115.211165)"
452121,CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,"500 WEST  4TH STREET , 4TH FLOOR",,ODESSA,TX,79761,Ector,(972) 943-6488,6,Non-profit,02/01/2016,25,"500 WEST  4TH STREET , 4TH FLOOR ODESSA, TX 79761 (31.844399, -102.37491)"
112013,"SELECT SPECIALTY HOSPITAL - AUGUSTA, INC",1537 WALTON WAY,,AUGUSTA,GA,30904,Richmond,(706) 731-1200,4,For profit,04/01/2004,30,"1537 WALTON WAY AUGUSTA, GA 30904 (33.475402, -81.990149)"
232019,VIBRA OF SOUTHEASTERN MICHIGAN,26400 W OUTER DRIVE,,LINCOLN PARK,MI,48146,Wayne,(313) 594-6000,5,For profit,07/01/1991,220,
352005,VIBRA HOSPITAL OF CENTRAL DAKOTAS LLC,1000 18TH STREET NW,,MANDAN,ND,58554,Morton,(701) 667-2000,8,Non-profit,09/01/1998,41,"1000 18TH STREET NW MANDAN, ND 58554 (46.841212, -100.907091)"
232021,SELECT SPECIALTY HOSPITAL - MUSKEGON,"1700 CLINTON STREET, 2 SOUTH AND 3 SOUTH FLOORS",,MUSKEGON,MI,49442,Muskegon,(231) 728-5800,5,For profit,07/01/1997,31,
182001,KINDRED HOSPITAL LOUISVILLE,1313 SAINT ANTHONY PLACE,,LOUISVILLE,KY,40204,Jefferson,(502) 587-7001,4,Non-profit,10/01/1995,367,"1313 SAINT ANTHONY PLACE LOUISVILLE, KY 40204 (38.242431, -85.731343)"
392037,SELECT SPECIALTY HOSPITAL - ERIE,252 WEST 11TH STREET,,ERIE,PA,16501,Erie,(814) 874-5300,3,For profit,06/01/2001,50,"252 WEST 11TH STREET ERIE, PA 16501 (42.122469, -80.087573)"
112006,EMORY LONG TERM ACUTE CARE,450 NORTH CANDLER STREET,,DECATUR,GA,30030,DeKalb,(404) 377-0221,4,Non-profit,11/15/1996,76,"450 NORTH CANDLER STREET DECATUR, GA 30030 (33.777185, -84.292636)"
252004,"SPECIALITY HOSPITAL OF MERIDIAN,THE",1314 19TH AVENUE,,MERIDIAN,MS,39301,Lauderdale,(601) 703-4211,4,Non-profit,05/01/1995,49,"1314 19TH AVENUE MERIDIAN, MS 39301 (32.370664, -88.697779)"
462006,"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC",4252 SOUTH BIRKHILL BOULEVARD,,MURRAY,UT,84107,Salt Lake,(801) 268-5400,8,For profit,02/01/2014,38,"4252 SOUTH BIRKHILL BOULEVARD MURRAY, UT 84107 (40.679754, -111.892763)"
102031,PROMISE HOSPITAL OF MIAMI,14001 NW 82ND AVENUE,,MIAMI LAKES,FL,33016,Miami-Dade,(786) 609-9200,4,For profit,04/01/2016,90,"14001 NW 82ND AVENUE MIAMI LAKES, FL 33016 (25.900308, -80.332412)"
012013,"NOLAND HOSPITAL SHELBY II, LLC","1000 FIRST STREET, 3RD FLOOR",,ALABASTER,AL,35007,Shelby,(205) 620-8641,4,Non-profit,03/01/2011,52,"1000 FIRST STREET, 3RD FLOOR ALABASTER, AL 35007 (33.233884, -86.811625)"
